VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,total_amount,pickup_zone,pickup_borough,dropoff_zone
1,2019-01-01 04:59:13,2019-01-01 05:21:35,1,3.50,11,46,17.00,20.30,Bath Beach,Brooklyn,City Island
1,2019-01-01 09:29:07,2019-01-01 10:04:13,1,1.70,40,48,20.50,26.16,Carroll Gardens,Brooklyn,Clinton East
2,2019-01-01 01:22:36,2019-01-01 01:48:14,1,4.60,29,13,18.50,20.79,Brighton Beach,Brooklyn,Battery Park City
2,2019-01-01 03:49:09,2019-01-01 03:52:18,1,0.46,13,12,4.00,6.36,Battery Park City,Manhattan,Battery Park
2,2019-01-01 22:57:08,2019-01-01 23:01:50,1,1.16,41,36,6.00,8.76,Central Harlem,Manhattan,Bushwick North
1,2019-01-01 23:36:06,2019-01-01 23:44:06,1,1.40,38,43,7.50,10.55,Cambria Heights,Queens,Central Park
2,2019-01-01 02:10:52,2019-01-01 02:26:10,1,1.72,25,40,11.50,12.80,Boerum Hill,Brooklyn,Carroll Gardens
2,2019-01-01 02:50:04,2019-01-01 02:56:47,1,1.16,50,42,6.50,9.36,Clinton West,Manhattan,Central Harlem North
2,2019-01-01 09:09:06,2019-01-01 09:20:54,1,1.55,29,49,9.00,12.88,Brighton Beach,Brooklyn,Clinton Hill
2,2019-01-01 22:40:33,2019-01-01 22:52:15,1,1.12,7,20,8.50,12.74,Astoria,Queens,Belmont
2,2019-01-01 03:54:06,2019-01-01 04:04:03,1,3.02,20,4,10.50,11.80,Belmont,Bronx,Alphabet City
2,2019-01-01 01:03:37,2019-01-01 01:09:42,5,2.07,37,40,8.00,9.30,Bushwick South,Brooklyn,Carroll Gardens
2,2019-01-01 16:21:50,2019-01-01 16:41:19,5,1.66,37,43,13.50,14.80,Bushwick South,Brooklyn,Central Park
2,2019-01-01 08:45:03,2019-01-01 08:53:10,5,1.61,42,38,8.00,11.16,Central Harlem North,Manhattan,Cambria Heights
2,2019-01-01 06:14:11,2019-01-01 06:30:49,1,1.59,50,36,11.50,12.80,Clinton West,Manhattan,Bushwick North
2,2019-01-01 03:36:39,2019-01-01 03:45:14,1,1.36,34,29,7.50,10.56,Brooklyn Navy Yard,Brooklyn,Brighton Beach
2,2019-01-01 07:46:29,2019-01-01 08:11:13,1,4.01,29,42,17.50,19.80,Brighton Beach,Brooklyn,Central Harlem North
2,2019-01-01 17:30:22,2019-01-01 17:34:31,1,0.93,29,29,5.00,8.19,Brighton Beach,Brooklyn,Brighton Beach
2,2019-01-01 23:43:58,2019-01-01 23:50:28,1,1.76,29,29,7.50,10.56,Brighton Beach,Brooklyn,Brighton Beach
2,2019-01-01 16:51:06,2019-01-01 16:56:45,1,1.26,29,29,6.50,7.80,Brighton Beach,Brooklyn,Brighton Beach
1,2019-01-01 07:21:09,2019-01-01 07:28:14,1,1.30,33,7,7.00,10.35,Brooklyn Heights,Brooklyn,Astoria
1,2019-01-01 03:48:28,2019-01-01 04:13:54,1,7.50,37,13,25.50,32.16,Bushwick South,Brooklyn,Battery Park City
2,2019-01-01 01:02:44,2019-01-01 01:08:42,3,0.91,29,48,5.50,6.80,Brighton Beach,Brooklyn,Clinton East
2,2019-01-01 00:10:26,2019-01-01 00:25:07,2,3.38,48,9,13.50,17.76,Clinton East,Manhattan,Auburndale
2,2019-01-01 09:32:54,2019-01-01 09:47:39,4,5.63,38,33,18.00,23.16,Cambria Heights,Queens,Brooklyn Heights
2,2019-01-01 03:52:11,2019-01-01 04:08:40,3,1.69,12,48,11.00,15.38,Battery Park,Manhattan,Clinton East
2,2019-01-01 09:44:35,2019-01-01 09:57:55,1,2.04,44,37,10.50,16.11,Charleston/Tottenville,Staten Island,Bushwick South
2,2019-01-01 03:58:40,2019-01-01 04:02:52,1,0.59,37,37,5.00,6.30,Bushwick South,Brooklyn,Bushwick South
1,2019-01-01 10:23:09,2019-01-01 10:50:06,1,3.40,37,49,17.50,22.55,Bushwick South,Brooklyn,Clinton Hill
1,2019-01-01 01:51:24,2019-01-01 02:11:30,1,4.30,49,2,16.50,17.80,Clinton Hill,Brooklyn,Jamaica Bay
2,2019-01-01 14:10:58,2019-01-01 14:34:17,6,2.00,29,14,15.00,18.30,Brighton Beach,Brooklyn,Bay Ridge
2,2019-01-01 03:38:02,2019-01-01 03:43:07,1,0.44,14,20,5.00,7.56,Bay Ridge,Brooklyn,Belmont
2,2019-01-01 16:51:44,2019-01-01 16:56:08,6,0.52,20,33,4.50,5.80,Belmont,Bronx,Brooklyn Heights
2,2019-01-01 08:26:02,2019-01-01 08:32:59,6,0.98,37,29,6.50,7.80,Bushwick South,Brooklyn,Brighton Beach
2,2019-01-01 23:34:59,2019-01-01 23:45:38,6,1.65,29,31,9.00,10.30,Brighton Beach,Brooklyn,Bronx Park
2,2019-01-01 22:49:24,2019-01-01 23:05:44,6,3.07,31,6,13.50,17.76,Bronx Park,Bronx,Arrochar/Fort Wadsworth
2,2019-01-01 14:18:26,2019-01-01 14:38:13,1,6.17,23,12,20.50,26.16,Bloomfield/Emerson Hill,Staten Island,Battery Park
2,2019-01-01 01:39:55,2019-01-01 01:48:13,1,1.71,12,38,8.50,12.74,Battery Park,Manhattan,Cambria Heights
2,2019-01-01 17:51:36,2019-01-01 17:55:27,1,0.99,39,43,5.00,6.30,Canarsie,Brooklyn,Central Park
2,2019-01-01 18:56:58,2019-01-01 19:01:02,1,0.80,43,38,5.00,7.56,Central Park,Manhattan,Cambria Heights
2,2019-01-01 17:28:27,2019-01-01 17:39:35,2,1.17,41,25,9.00,10.30,Central Harlem,Manhattan,Boerum Hill
2,2019-01-01 22:42:30,2019-01-01 22:57:14,2,3.85,25,20,14.00,15.30,Boerum Hill,Brooklyn,Belmont
2,2019-01-01 16:04:28,2019-01-01 16:10:57,1,1.50,50,18,7.00,8.30,Clinton West,Manhattan,Bedford Park
2,2019-01-01 08:49:24,2019-01-01 08:51:37,1,0.50,50,48,4.00,5.80,Clinton West,Manhattan,Clinton East
2,2019-01-01 23:54:03,2019-01-02 00:00:14,1,1.00,48,50,6.00,8.76,Clinton East,Manhattan,Clinton West
4,2019-01-01 17:15:05,2019-01-01 17:27:32,1,2.71,13,37,11.00,14.76,Battery Park City,Manhattan,Bushwick South
4,2019-01-01 01:33:18,2019-01-01 02:00:47,1,4.59,38,50,20.50,21.80,Cambria Heights,Queens,Clinton West
2,2019-01-01 08:42:07,2019-01-01 09:11:36,1,3.23,14,31,18.50,23.76,Bay Ridge,Brooklyn,Bronx Park
2,2019-01-01 00:19:09,2019-01-01 00:36:36,2,4.07,11,49,15.50,20.16,Bath Beach,Brooklyn,Clinton Hill
2,2019-01-01 00:48:51,2019-01-01 01:07:02,1,5.86,44,26,19.00,20.30,Charleston/Tottenville,Staten Island,Borough Park
2,2019-01-01 02:10:18,2019-01-01 02:16:01,1,2.19,13,12,8.00,9.30,Battery Park City,Manhattan,Battery Park
2,2019-01-01 23:27:20,2019-01-01 23:30:42,1,0.68,37,37,4.50,6.38,Bushwick South,Brooklyn,Bushwick South
2,2019-01-01 23:32:10,2019-01-01 23:49:32,1,5.98,7,41,19.50,20.80,Astoria,Queens,Central Harlem
2,2019-01-01 03:54:55,2019-01-01 04:01:45,1,2.05,36,40,8.50,11.76,Bushwick North,Brooklyn,Carroll Gardens
2,2019-01-01 22:16:48,2019-01-01 22:19:00,1,0.36,7,7,3.50,4.80,Astoria,Queens,Astoria
2,2019-01-01 00:49:02,2019-01-01 01:04:45,1,1.88,20,48,11.50,15.36,Belmont,Bronx,Clinton East
2,2019-01-01 00:16:17,2019-01-01 00:26:35,1,1.43,49,29,8.50,12.25,Clinton Hill,Brooklyn,Brighton Beach
2,2019-01-01 17:35:06,2019-01-01 17:50:22,1,2.71,29,6,13.00,17.88,Brighton Beach,Brooklyn,Arrochar/Fort Wadsworth
2,2019-01-01 01:51:32,2019-01-01 02:40:24,1,11.10,6,2,41.00,50.76,Arrochar/Fort Wadsworth,Staten Island,Jamaica Bay
2,2019-01-01 00:30:12,2019-01-01 01:05:38,1,4.55,20,39,24.00,27.30,Belmont,Bronx,Canarsie
2,2018-12-31 01:56:26,2018-12-31 02:07:20,3,2.08,13,43,9.50,10.80,Battery Park City,Manhattan,Central Park
2,2019-01-01 07:13:05,2019-01-01 07:38:51,4,3.55,42,7,17.50,22.56,Central Harlem North,Manhattan,Astoria
2,2019-01-01 02:51:05,2019-01-01 03:04:29,2,1.15,7,13,9.00,12.36,Astoria,Queens,Battery Park City
1,2019-01-01 18:23:12,2019-01-01 18:38:18,2,2.00,11,40,11.50,12.80,Bath Beach,Brooklyn,Carroll Gardens
1,2019-01-01 02:46:33,2019-01-01 03:07:24,4,3.20,29,8,15.00,17.30,Brighton Beach,Brooklyn,Astoria Park
2,2019-01-01 23:10:59,2019-01-01 23:21:21,4,1.58,13,14,8.50,9.80,Battery Park City,Manhattan,Bay Ridge
2,2019-01-01 02:27:10,2019-01-01 02:33:22,2,0.78,34,20,6.00,7.30,Brooklyn Navy Yard,Brooklyn,Belmont
2,2019-01-01 00:44:45,2019-01-01 00:50:54,3,0.87,11,43,6.00,7.30,Bath Beach,Brooklyn,Central Park
2,2019-01-01 17:53:36,2019-01-01 18:02:28,2,2.73,42,16,10.00,11.30,Central Harlem North,Manhattan,Bayside
2,2019-01-01 02:21:14,2019-01-01 02:29:40,1,1.98,34,31,8.50,12.00,Brooklyn Navy Yard,Brooklyn,Bronx Park
2,2019-01-01 03:34:36,2019-01-01 03:39:29,1,1.46,31,49,6.50,9.36,Bronx Park,Bronx,Clinton Hill
2,2019-01-01 07:46:10,2019-01-01 07:52:38,1,0.76,34,29,6.00,8.76,Brooklyn Navy Yard,Brooklyn,Brighton Beach
2,2019-01-01 07:28:59,2019-01-01 07:52:39,1,0.93,11,50,14.00,18.36,Bath Beach,Brooklyn,Clinton West
2,2019-01-01 09:56:19,2019-01-01 10:12:12,1,1.86,14,7,11.50,12.80,Bay Ridge,Brooklyn,Astoria
1,2019-01-01 03:28:47,2019-01-01 03:58:13,1,4.90,46,13,22.00,23.30,City Island,Bronx,Battery Park City
2,2019-01-01 08:35:26,2019-01-01 08:39:13,1,1.08,50,43,5.50,8.16,Clinton West,Manhattan,Central Park
2,2019-01-01 01:42:03,2019-01-01 01:53:01,1,2.61,39,36,10.50,14.75,Canarsie,Brooklyn,Bushwick North
2,2019-01-01 16:56:16,2019-01-01 17:00:20,1,0.57,13,36,4.50,5.80,Battery Park City,Manhattan,Bushwick North
2,2019-01-01 07:27:16,2019-01-01 07:38:37,6,2.16,16,24,10.50,11.80,Bayside,Queens,Bloomingdale
2,2019-01-01 03:47:26,2019-01-01 03:58:52,6,2.64,36,1,11.00,14.76,Bushwick North,Brooklyn,Newark Airport
1,2019-01-01 17:46:55,2019-01-01 18:06:48,2,2.80,7,31,13.50,17.30,Astoria,Queens,Bronx Park
2,2019-01-01 07:09:46,2019-01-01 07:15:31,6,2.04,37,32,8.00,11.16,Bushwick South,Brooklyn,Bronxdale
2,2019-01-01 00:17:57,2019-01-01 00:24:42,6,2.66,32,33,9.50,10.80,Bronxdale,Bronx,Brooklyn Heights
2,2019-01-01 23:30:47,2019-01-01 23:47:11,6,2.94,12,39,13.50,19.80,Battery Park,Manhattan,Canarsie
2,2019-01-01 00:49:18,2019-01-01 01:17:26,6,5.28,39,13,20.50,25.55,Canarsie,Brooklyn,Battery Park City
1,2019-01-01 22:30:07,2019-01-01 22:54:25,1,3.80,50,31,17.50,22.55,Clinton West,Manhattan,Bronx Park
1,2019-01-01 03:56:20,2019-01-01 03:59:24,1,0.60,11,31,4.50,5.80,Bath Beach,Brooklyn,Bronx Park
2,2019-01-01 00:34:03,2019-01-01 00:51:42,1,5.60,26,46,20.00,21.30,Borough Park,Brooklyn,City Island
2,2019-01-01 17:21:17,2019-01-01 17:25:27,3,0.30,36,36,4.50,9.75,Bushwick North,Brooklyn,Bushwick North
2,2019-01-01 17:40:37,2019-01-01 17:56:02,2,0.48,18,48,10.00,11.30,Bedford Park,Bronx,Clinton East
2,2019-01-01 00:57:25,2019-01-01 01:24:12,2,4.54,48,31,19.50,26.00,Clinton East,Manhattan,Bronx Park
2,2019-01-01 04:16:05,2019-01-01 04:19:57,1,0.58,50,50,4.50,6.67,Clinton West,Manhattan,Clinton West
2,2019-01-01 17:25:05,2019-01-01 17:43:28,1,4.52,39,26,16.50,21.36,Canarsie,Brooklyn,Borough Park
2,2019-01-01 16:55:10,2019-01-01 17:05:43,1,1.71,12,24,9.00,10.30,Battery Park,Manhattan,Bloomingdale
2,2019-01-01 02:18:36,2019-01-01 02:24:40,1,1.95,37,25,7.50,8.80,Bushwick South,Brooklyn,Boerum Hill
2,2019-01-01 07:26:59,2019-01-01 07:34:46,2,1.82,25,1,8.00,11.16,Boerum Hill,Brooklyn,Newark Airport
2,2019-01-01 22:38:21,2019-01-01 22:58:36,1,7.74,1,28,23.50,24.80,Newark Airport,EWR,Briarwood/Jamaica Hills
1,2019-01-01 12:38:55,2019-01-01 12:46:47,2,1.30,40,36,7.00,8.30,Carroll Gardens,Brooklyn,Bushwick North
1,2019-01-01 22:49:08,2019-01-01 22:55:07,2,0.90,36,25,6.00,8.75,Bushwick North,Brooklyn,Boerum Hill
2,2019-01-01 23:27:18,2019-01-01 23:37:43,6,1.04,34,20,8.00,9.30,Brooklyn Navy Yard,Brooklyn,Belmont
2,2019-01-01 18:40:27,2019-01-01 18:52:02,6,1.64,20,7,9.00,12.30,Belmont,Bronx,Astoria
2,2019-01-01 07:53:41,2019-01-01 08:08:02,6,1.66,7,46,10.50,14.16,Astoria,Queens,City Island
2,2019-01-01 18:10:00,2019-01-01 18:36:43,2,14.37,32,15,40.00,49.56,Bronxdale,Bronx,Bay Terrace/Fort Totten
2,2019-01-01 01:51:01,2019-01-01 02:25:44,3,9.37,11,20,30.50,38.16,Bath Beach,Brooklyn,Belmont
2,2019-01-01 03:07:52,2019-01-01 03:15:46,1,1.54,20,34,7.50,9.68,Belmont,Bronx,Brooklyn Navy Yard
2,2019-01-01 03:40:02,2019-01-01 03:57:19,2,4.06,29,31,16.00,22.49,Brighton Beach,Brooklyn,Bronx Park
1,2019-01-01 03:18:17,2019-01-01 03:45:31,3,2.10,48,18,17.00,21.95,Clinton East,Manhattan,Bedford Park
1,2019-01-01 22:48:24,2019-01-01 22:52:52,1,0.10,18,18,4.50,5.80,Bedford Park,Bronx,Bedford Park
1,2019-01-01 22:51:57,2019-01-01 22:55:22,2,0.60,13,12,4.50,7.50,Battery Park City,Manhattan,Battery Park
2,2019-01-01 23:16:39,2019-01-01 23:22:55,1,0.75,13,11,6.00,8.76,Battery Park City,Manhattan,Bath Beach
2,2019-01-01 02:41:52,2019-01-01 02:59:53,1,4.31,14,45,17.00,21.96,Bay Ridge,Brooklyn,Chinatown
2,2019-01-01 23:03:37,2019-01-01 23:16:28,1,1.63,45,29,9.50,12.96,Chinatown,Manhattan,Brighton Beach
2,2019-01-01 22:30:32,2019-01-01 22:34:50,2,0.84,39,38,5.50,6.80,Canarsie,Brooklyn,Cambria Heights
2,2019-01-01 03:37:00,2019-01-01 03:51:17,2,2.29,38,50,11.50,16.00,Cambria Heights,Queens,Clinton West
2,2019-01-01 11:52:26,2019-01-01 12:02:25,2,1.11,50,48,8.00,12.09,Clinton West,Manhattan,Clinton East
2,2019-01-01 01:16:30,2019-01-01 01:32:14,2,2.54,42,12,12.50,13.80,Central Harlem North,Manhattan,Battery Park
2,2019-01-01 08:35:46,2019-01-01 08:47:51,2,2.79,12,1,11.00,15.38,Battery Park,Manhattan,Newark Airport
2,2019-01-01 22:51:11,2019-01-01 22:55:36,2,0.97,1,41,5.50,8.84,Newark Airport,EWR,Central Harlem
1,2019-01-01 22:52:36,2019-01-01 22:54:35,1,0.70,37,36,4.00,5.30,Bushwick South,Brooklyn,Bushwick North
1,2019-01-01 02:19:23,2019-01-01 02:28:51,1,1.50,37,12,8.50,11.56,Bushwick South,Brooklyn,Battery Park
1,2019-01-01 03:29:48,2019-01-01 03:31:13,1,0.00,12,12,3.00,4.30,Battery Park,Manhattan,Battery Park
1,2019-01-01 00:40:22,2019-01-01 00:48:12,1,1.20,37,36,7.50,10.55,Bushwick South,Brooklyn,Bushwick North
1,2019-01-01 09:53:28,2019-01-01 10:01:28,1,2.50,37,25,9.50,12.95,Bushwick South,Brooklyn,Boerum Hill
2,2019-01-01 03:25:35,2019-01-01 03:47:10,5,2.94,49,33,15.00,21.19,Clinton Hill,Brooklyn,Brooklyn Heights
2,2019-01-01 02:55:05,2019-01-01 03:07:44,5,0.61,11,14,8.50,9.80,Bath Beach,Brooklyn,Bay Ridge
1,2019-01-01 00:11:45,2019-01-01 00:34:13,2,2.10,29,20,14.50,18.96,Brighton Beach,Brooklyn,Belmont
1,2019-01-01 23:47:59,2019-01-02 00:10:19,1,3.30,12,8,15.50,26.80,Battery Park,Manhattan,Astoria Park
1,2019-01-01 00:22:33,2019-01-01 00:36:35,1,0.90,48,50,9.50,12.95,Clinton East,Manhattan,Clinton West
1,2019-01-01 01:40:30,2019-01-01 02:06:54,1,4.30,50,11,19.00,24.35,Clinton West,Manhattan,Bath Beach
2,2019-01-01 01:12:18,2019-01-01 01:53:25,5,8.33,46,37,31.50,39.36,City Island,Bronx,Bushwick South
2,2019-01-01 01:16:33,2019-01-01 01:23:25,2,0.79,20,12,5.50,6.80,Belmont,Bronx,Battery Park
2,2019-01-01 17:35:44,2019-01-01 17:37:57,2,0.37,37,29,3.50,4.80,Bushwick South,Brooklyn,Brighton Beach
2,2019-01-01 16:45:16,2019-01-01 17:06:25,2,2.56,11,29,14.50,15.80,Bath Beach,Brooklyn,Brighton Beach
2,2019-01-01 00:04:38,2019-01-01 00:18:26,1,1.92,14,4,10.00,11.30,Bay Ridge,Brooklyn,Alphabet City
2,2019-01-01 23:20:48,2019-01-01 23:50:10,2,5.39,29,37,22.00,27.96,Brighton Beach,Brooklyn,Bushwick South
2,2019-01-01 09:56:36,2019-01-01 10:13:11,2,2.35,37,6,12.00,13.30,Bushwick South,Brooklyn,Arrochar/Fort Wadsworth
2,2019-01-01 01:09:14,2019-01-01 01:16:39,1,2.08,42,36,8.00,11.16,Central Harlem North,Manhattan,Bushwick North
2,2019-01-01 16:22:04,2019-01-01 16:55:03,1,2.72,43,40,20.00,21.30,Central Park,Manhattan,Carroll Gardens
2,2019-01-01 23:56:29,2019-01-02 00:07:44,1,1.38,40,24,8.50,9.80,Carroll Gardens,Brooklyn,Bloomingdale
1,2019-01-01 21:00:35,2019-01-01 22:04:14,1,15.70,26,29,54.00,55.30,Borough Park,Brooklyn,Brighton Beach
2,2019-01-01 23:27:59,2019-01-01 23:29:38,1,0.49,37,7,3.50,5.76,Bushwick South,Brooklyn,Astoria
2,2019-01-01 08:15:42,2019-01-01 08:30:32,2,1.79,20,49,10.50,11.80,Belmont,Bronx,Clinton Hill
2,2019-01-01 09:17:27,2019-01-01 09:40:16,2,4.94,46,37,19.00,20.30,City Island,Bronx,Bushwick South
2,2019-01-01 11:47:26,2019-01-01 11:57:47,3,3.09,11,36,11.00,15.99,Bath Beach,Brooklyn,Bushwick North
2,2019-01-01 23:58:50,2019-01-02 00:08:26,4,1.67,36,13,8.50,11.76,Bushwick North,Brooklyn,Battery Park City
2,2019-01-01 07:04:12,2019-01-01 07:30:17,2,1.31,13,14,15.50,20.16,Battery Park City,Manhattan,Bay Ridge
2,2019-01-01 09:36:10,2019-01-01 09:46:45,1,1.21,20,7,8.00,11.16,Belmont,Bronx,Astoria
2,2019-01-01 07:55:52,2019-01-01 07:59:40,1,0.72,37,12,4.50,6.96,Bushwick South,Brooklyn,Battery Park
2,2019-01-01 02:08:20,2019-01-01 02:13:00,1,0.84,36,12,5.00,6.30,Bushwick North,Brooklyn,Battery Park
2,2019-01-01 08:16:37,2019-01-01 08:21:19,1,1.52,13,29,6.00,8.76,Battery Park City,Manhattan,Brighton Beach
2,2019-01-01 09:26:54,2019-01-01 09:29:50,1,0.48,13,12,4.00,5.30,Battery Park City,Manhattan,Battery Park
2,2019-01-01 02:32:07,2019-01-01 02:48:44,1,2.87,12,42,13.50,14.80,Battery Park,Manhattan,Central Harlem North
2,2019-01-01 19:50:26,2019-01-01 20:05:39,1,2.86,42,12,12.00,13.30,Central Harlem North,Manhattan,Battery Park
2,2019-01-01 19:03:54,2019-01-01 19:17:45,1,2.79,37,40,12.00,17.29,Bushwick South,Brooklyn,Carroll Gardens
2,2019-01-01 14:12:58,2019-01-01 14:45:20,2,11.11,50,39,34.50,54.03,Clinton West,Manhattan,Canarsie
2,2019-01-01 23:55:27,2019-01-02 00:11:29,2,7.16,7,8,22.00,34.87,Astoria,Queens,Astoria Park
2,2019-01-01 22:01:20,2019-01-01 22:09:17,3,1.67,41,42,8.00,9.30,Central Harlem,Manhattan,Central Harlem North
2,2019-01-01 00:13:25,2019-01-01 00:24:07,2,1.61,42,41,9.00,10.30,Central Harlem North,Manhattan,Central Harlem
2,2019-01-01 17:27:33,2019-01-01 17:32:55,2,0.91,41,41,5.50,8.16,Central Harlem,Manhattan,Central Harlem
2,2019-01-01 17:38:03,2019-01-01 18:04:41,3,9.88,41,37,30.00,37.56,Central Harlem,Manhattan,Bushwick South
2,2019-01-01 07:12:41,2019-01-01 07:15:52,4,0.80,41,37,4.50,6.96,Central Harlem,Manhattan,Bushwick South
2,2019-01-01 03:24:09,2019-01-01 03:34:35,2,2.97,37,1,11.00,13.53,Bushwick South,Brooklyn,Newark Airport
2,2019-01-01 22:40:02,2019-01-01 22:46:03,2,0.99,1,38,6.50,7.80,Newark Airport,EWR,Cambria Heights
2,2019-01-01 03:53:14,2019-01-01 03:54:50,1,0.40,38,38,3.50,5.76,Cambria Heights,Queens,Cambria Heights
1,2019-01-01 07:19:51,2019-01-01 07:48:39,2,17.60,15,44,47.50,54.56,Bay Terrace/Fort Totten,Queens,Charleston/Tottenville
1,2019-01-01 00:16:03,2019-01-01 00:20:31,3,0.60,29,14,5.00,7.55,Brighton Beach,Brooklyn,Bay Ridge
1,2019-01-01 02:27:48,2019-01-01 02:40:17,4,1.00,13,18,9.50,10.80,Battery Park City,Manhattan,Bedford Park
1,2019-01-01 22:50:38,2019-01-01 23:15:13,3,4.10,18,38,19.50,20.80,Bedford Park,Bronx,Cambria Heights
2,2019-01-01 07:05:49,2019-01-01 07:28:40,2,1.78,42,11,14.50,18.96,Central Harlem North,Manhattan,Bath Beach
2,2019-01-01 22:30:35,2019-01-01 22:53:10,2,3.19,11,36,16.50,21.36,Bath Beach,Brooklyn,Bushwick North
2,2019-01-01 12:56:19,2019-01-01 13:04:05,3,1.56,37,29,7.50,8.80,Bushwick South,Brooklyn,Brighton Beach
2,2019-01-01 01:28:22,2019-01-01 01:49:43,2,2.00,42,40,14.00,19.89,Central Harlem North,Manhattan,Carroll Gardens
2,2019-01-01 01:50:31,2019-01-01 02:05:33,2,1.62,40,48,10.50,14.16,Carroll Gardens,Brooklyn,Clinton East
2,2019-01-01 17:13:48,2019-01-01 17:39:00,5,1.34,13,40,15.00,21.19,Battery Park City,Manhattan,Carroll Gardens
2,2019-01-01 00:49:01,2019-01-01 01:16:54,5,6.19,49,13,22.50,26.80,Clinton Hill,Brooklyn,Battery Park City
4,2019-01-01 03:14:03,2019-01-01 03:31:22,1,2.78,41,38,13.00,16.30,Central Harlem,Manhattan,Cambria Heights
4,2019-01-01 01:36:26,2019-01-01 02:02:05,1,4.05,38,38,18.00,22.30,Cambria Heights,Queens,Cambria Heights
2,2019-01-01 08:00:52,2019-01-01 08:14:02,6,2.67,14,12,11.00,14.76,Bay Ridge,Brooklyn,Battery Park
2,2019-01-01 17:31:40,2019-01-01 17:40:26,6,1.57,11,36,8.00,11.16,Bath Beach,Brooklyn,Bushwick North
2,2019-01-01 09:55:07,2019-01-01 09:57:08,6,0.66,43,13,4.00,6.36,Central Park,Manhattan,Battery Park City
1,2019-01-01 09:01:34,2019-01-01 09:15:53,2,7.30,32,45,22.50,23.80,Bronxdale,Bronx,Chinatown
2,2019-01-01 02:06:09,2019-01-01 02:23:00,2,3.40,13,43,14.00,18.36,Battery Park City,Manhattan,Central Park
2,2019-01-01 02:36:42,2019-01-01 03:07:13,3,4.29,48,44,21.00,22.30,Clinton East,Manhattan,Charleston/Tottenville
